rule_id,kind,file,line,label_or_value,born_by,date,receipt,revert_if,note
threshold:profile:trip_proven,threshold,src/racing_edge/domain/profile.py,101,"weight 3.0, tol_f = 1.5 furlongs",UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:course_proven,threshold,src/racing_edge/domain/profile.py,111,weight 2.0 — a winner at the track,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:consistency_prb,threshold,src/racing_edge/domain/profile.py,119,"PRB >= 0.55 = 2.0, <= 0.45 = -2.0, min 4 runs",UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:quality_of_win,threshold,src/racing_edge/domain/profile.py,142,weight 2.0 — won Class <= 4 with field >= 8,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:claimer_allowance,threshold,src/racing_edge/domain/profile.py,157,claim >= 3lb: 2.5 if >= 5lb else 1.5,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:weight_relief,threshold,src/racing_edge/domain/profile.py,169,weight 2.0 when wv <= -3,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:well_handicapped,threshold,src/racing_edge/domain/profile.py,180,weight 3.0 when RPR - OR >= 7,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
bonus:race_quality:handicap,bonus,src/racing_edge/pipeline/nap.py,71,q += 1 if is_handicap else 0,field-tested,2026-08-17,"nap.py:56 '+1 honest handicap (the record's winning profile, 6 of 8 winners)'; the 1,978-race study of 2026-08-17, shipped on his word 'lets go'",,"field-tested (frozen snapshot 2026-08-17, not rebuildable)"
bonus:race_quality:concentration,bonus,src/racing_edge/pipeline/nap.py,78,q += 1 if concentration > 0.75 and not hollow else 0,field-tested,2026-08-17,nap.py:57-59 'top-3 conc > 0.75: winner in front three 79% vs 45-55% in open markets — the strongest race-reading signal measured',,"field-tested (frozen snapshot 2026-08-17, not rebuildable)"
threshold:race_quality:concentration>0.75,threshold,src/racing_edge/pipeline/nap.py,78,0.75,field-tested,2026-08-17,nap.py:57-59 the measured split: 79% front-three at conc > 0.75 against 45-55% in open markets,,"field-tested (frozen snapshot 2026-08-17, not rebuildable)"
gate:race_quality:hollow_suppresses_concentration,gate,src/racing_edge/pipeline/nap.py,78,not hollow,taught,2026-08-19,nap.py:72-75 the master 2026-08-19 after Percy's Lad 5th: 'for the record that was a terrible race to pick in wolverhampton',,a market short at the front because everything behind it is dead wood
bonus:race_quality:pattern+2,bonus,src/racing_edge/pipeline/nap.py,93,q += 2,taught,2026-09-05,nap.py:80-88 the master 2026-09-05 'we are not picking the right races... well maybe the engine is wrong?... I believe in what you say'; rulings.csv:27,15 settled picks from pattern/heritage races read worse than the fingerprint's own (the yardstick RACE TYPE table),the +2 magnitude is the apprentice's
bonus:race_quality:class_1_to_4,bonus,src/racing_edge/pipeline/nap.py,95,"q += 1 if race_class in (1, 2, 3, 4)",field-tested,2026-08-17,"nap.py:60 '+1 Class 3-4 (fav 38.2%, top-3 73% — the sweet spot)'; Cl1-2 was added 2026-09-05 on his inversion word",same REVERT-IF as the pattern bonus,Cl3-4 field-tested (frozen snapshot 2026-08-17); Cl1-2 taught 2026-09-05
penalty:race_quality:hurdle,penalty,src/racing_edge/pipeline/nap.py,96,"q -= 1 if ""hurdle"" in race_type",field-tested,2026-08-17,"nap.py:61 '-1 hurdles (fav ROI -26.5%, the quietly terrible code)'",,"field-tested (frozen snapshot 2026-08-17, not rebuildable)"
penalty:race_quality:unclassed,penalty,src/racing_edge/pipeline/nap.py,97,q -= 1 if not race_class,field-tested,2026-08-17,"nap.py:62 '-1 unclassed (IRE unclassed: hierarchy weakest, fav -22.6%)'",,"field-tested (frozen snapshot 2026-08-17, not rebuildable)"
penalty:race_quality:field>=12,penalty,src/racing_edge/pipeline/nap.py,98,q -= 1 if field_size >= 12,field-tested,2026-08-17,"nap.py:63-64 '-1 field of 12+ (front-three coverage collapses to ~55% — shape-bet territory, not form-bet)'",,counts PRICED runners only — the partial-odds gap is said out loud at nap.py:401-409
penalty:race_quality:all_weather,penalty,src/racing_edge/pipeline/nap.py,102,q -= 1 if is_aw,field-tested,2026-08-18,"nap.py:99-101 corpus split 2026-08-18: concentrated AW holds the front three 71.9% v 79.9% on turf, fav ROI -10.0% v -6.6%",,the receipted half of law #14
penalty:race_quality:per_race_gate_flag,penalty,src/racing_edge/pipeline/nap.py,103,q -= n_race_flags,taught,2026-07-05,"nap.py:65-66 '-1 per race gate flag (the taught laws: novice-in-disguise, Cl6, anything-could-win shape)'",,the gates are taught; the one-point-per-flag weight is the apprentice's
bonus:race_quality:shape_jolly_or_gem,bonus,src/racing_edge/pipeline/nap.py,119,q += 1,taught,2026-09-01,nap.py:104-107 the master 2026-09-01: 'we are still selecting wrong type and shape of race — you have picked enough losers to find the right type of race' (rulings.csv:11),a week of shape-steered picks reads worse than the old key,the +1 magnitude is the apprentice's
penalty:race_quality:shape_best_avoided,penalty,src/racing_edge/pipeline/nap.py,121,q -= 2,taught,2026-09-01,nap.py:104-115 the same 2026-09-01 ruling; the book's own record now votes where the race is chosen,a week of shape-steered picks reads worse than the old key,the -2 magnitude ('harder than any single bonus can buy back') is the apprentice's
constant:pipeline:BETTING_BAR,constant,src/racing_edge/pipeline/nap.py,177,BETTING_BAR = 2,doorbell,2026-09-02,"EDGE_LEDGER.md:786 his ruling 'race quality is a BAR (the two-column record's bar, 2)'; naplog.py:176-181 the master 2026-08-22 'opinion on everything, money-shape on few'",a week of picks reads worse than the race-first key (nap.py:200),"the number 2 is record_split's default, itself never receipted"
threshold:ew_advice:16+_price>=5.0,threshold,src/racing_edge/pipeline/nap.py,132,field_size >= 16 and price >= 5.0 — 4 places at 1/4,taught,2026-07-26,"nap.py:125-130 'each-way as a CALCULATION, not the old 8.0 cliff (the master, 2026-07-26)': the place part stands on its own when frac*(price-1) >= 1",,
threshold:ew_advice:12-15_price>=5.0,threshold,src/racing_edge/pipeline/nap.py,136,field_size >= 12 and price >= 5.0 — 3 places at 1/4,taught,2026-07-26,nap.py:125-130 the same calculation; morningread.py:504-506 rule 9's instrument line,,
threshold:ew_advice:8-11_price>=6.0,threshold,src/racing_edge/pipeline/nap.py,138,field_size >= 8 and price >= 6.0 — 3 places at 1/5,taught,2026-07-26,"nap.py:125-130 the same calculation; morningread.py:504-506 '6.0+ in 8-11 fields (1/5 odds), never by a price cliff'",,
threshold:ew_advice:price>=8.0_thin_terms,threshold,src/racing_edge/pipeline/nap.py,140,price >= 8.0,UNRECEIPTED,,"8.0 is the OLD cliff the master struck on 2026-07-26 ('price threshold must not be so rigid'), kept alive here as a warning string",,
term:market_shape:top3_concentration,term,src/racing_edge/pipeline/nap.py,146,conc = sum(1/price) over the three shortest,taught,2026-07-26,"nap.py:148-150 the master 2026-07-26 'price threshold must not be so rigid' — a 4.9 fav with 5.0s behind it is open, a 4.9 fav clear of a 9.0 field is anchored",,
threshold:market_shape:bands_0.62_0.52,threshold,src/racing_edge/pipeline/nap.py,154,anchored >= 0.62 | loose >= 0.52 | else OPEN,UNRECEIPTED,,no quote and no record for either band; the fingerprint's own measured cut is 0.75 (nap.py:57-59),,the rulebook's #22 ANCHOR BAR states a PRICE cliff instead — 'a favourite 6/1 or bigger (5/1 below Class 3)' (morningread.py:451-453) — which the code does not implement
gate:still_to_run:fails_closed,gate,src/racing_edge/pipeline/nap.py,158,None (unparseable off time) is treated as OFF by the caller,doorbell,2026-09-02,"rulings.csv:13 the master: 'a gate that cannot check FAILS CLOSED, never open'",,the old inner function returned True on a parse error
threshold:still_to_run:buffer_5_minutes,threshold,src/racing_edge/pipeline/nap.py,158,buffer_minutes: int = 5,UNRECEIPTED,,no quote and no record for a five-minute pre-off buffer,,
term:still_to_run:hours_1_to_9_are_PM,term,src/racing_edge/pipeline/nap.py,169,if 1 <= hh <= 9: hh += 12,field-tested,2026-07-13,"nap.py:256-260 an 8pm manual run: off-times print without am/pm and racing runs ~11:00-21:45, so hours 1-9 read as PM; banking a run race corrupts the pre-off ledger",,
term:_rank_key:above_the_bar_first,term,src/racing_edge/pipeline/nap.py,220,"(1, ...) when race_quality >= BETTING_BAR else (0, ...)",doorbell,2026-09-02,"nap.py:194-199 his ruling: 'best horse wins' and 'picking the right race' reconciled — the race must CLEAR the bar first, then the best horse wins",a week of picks reads worse than the race-first key,
term:_rank_key:class_line_first,term,src/racing_edge/pipeline/nap.py,213,"-getattr(p.conviction, 'best_class_level', 99)",taught,2026-09-05,rulings.csv:26 'yes do inversion we need to learn and improve we keep getting it wrong' — five of six picks lost to the horse with the better class line,over the next 15 settled picks the class-first pick's strike sits at or below the old key's pick on the same yardstick rows,
term:_rank_key:best_class_won,term,src/racing_edge/pipeline/nap.py,214,"int(getattr(p.conviction, 'best_class_won', False))",taught,2026-09-05,"conviction.py:29-30 'a win outranks a place on the same rung'; the master's inversion word, rulings.csv:26",the inversion REVERT-IF above,
term:_rank_key:confident_first,term,src/racing_edge/pipeline/nap.py,215,int(p.conviction.confident),UNRECEIPTED,,no quote and no record for the order of the jigsaw terms; inherited unchanged from the pre-inversion key,,
term:_rank_key:mark_known,term,src/racing_edge/pipeline/nap.py,215,int(p.conviction.mark_known),UNRECEIPTED,,"the code's own reason is engineering, not the record: 'slot efficiency: the floor can't bank mark-OWED picks' (nap.py:186-187)",,
term:_rank_key:score_families,term,src/racing_edge/pipeline/nap.py,216,p.conviction.score,field-tested,2026-07-12,conviction.py:77-82 the families regression audit — correlated labels outranked the profile that actually won,,
term:_rank_key:len_aligned_tiebreak,term,src/racing_edge/pipeline/nap.py,216,len(p.conviction.aligned),UNRECEIPTED,,"no quote, no record; EDGE_LEDGER.md:869 names the fault — 'every term COUNTS EVIDENCE LINES', so the exposed horse wins the tie by construction",,his ruling on this tie was asked for (EDGE_LEDGER.md:872) and never given
term:_rank_key:race_quality_tiebreak,term,src/racing_edge/pipeline/nap.py,221,"p.race_quality after the horse terms, above the bar",doorbell,2026-09-02,EDGE_LEDGER.md:786 'among races that clear it the BEST HORSE wins; race quality then breaks ties',a week of picks reads worse than the race-first key,
term:_rank_key:race_first_below_the_bar,term,src/racing_edge/pipeline/nap.py,224,"(0, p.race_quality, ...)",taught,2026-08-17,nap.py:189-191 the master 2026-08-17: 'one of the big problems is picking the right race i think this is a weak point in the system',,keeps the dreck column honest for the record
constant:_rank_key:unclassed_ranks_7,constant,src/racing_edge/pipeline/nap.py,219,-(p.race.race_class if p.race.race_class else 7),UNRECEIPTED,,audit 2026-09-02 fix ('or 6 tied unknown with known worst') — an inference; no number and no record says unclassed ranks below Cl6,,
term:_rank_key:shorter_price_breaks_final_tie,term,src/racing_edge/pipeline/nap.py,219,-(p.price or 999.0),UNRECEIPTED,,"no quote and no record; sits against rule 2 'FORM FIRST, ODDS LAST... the market confirms or warns; it never picks' (morningread.py:78-80)",,"last term only, but it is the market picking"
term:_rank_key_legacy,term,src/racing_edge/pipeline/nap.py,227,"the pre-inversion key, printed beside the new one every 07:30",taught,2026-09-05,nap.py:228-230 the live check behind the inversion's REVERT-IF; cli/nap.py:940-953 prints both picks,,"grading instrument, not a gate"
gate:evaluate_field:time_guard,gate,src/racing_edge/pipeline/nap.py,262,races already off (or unparseable) are not pickable,field-tested,2026-07-13,"nap.py:256-261 an 8pm manual run; UK wall-clock fix 2026-07-25 (the box runs UTC, so in BST a race gone off 55 minutes ago read as still to run)",,
threshold:evaluate_field:young_unexposed_runner,threshold,src/racing_edge/pipeline/nap.py,321,i < 6 and (r.age or 99) <= 6 and len(hist) <= 5,UNRECEIPTED,,"law 3i's species line is 'roughly <=5-6 career runs' (morningread.py:337-338), so the hist<=5 leg has cover; the top-6 scope and age<=6 do not (the audit widened age<=5 citing no number)",,
flag:race:young-unexposed-field,flag,src/racing_edge/pipeline/nap.py,354,young-unexposed field — a novice in disguise (#13/#30),taught,2026-07-05,"nap.py:338-343 the master 2026-07-05 after two poor naps: 'unexposed horses, poor classes and grade, anything could win — learn to pick the correct TYPE of race'",,#13 written into the rulebook 2026-09-02 (morningread.py:445-448)
threshold:race_gate:young_unexposed>=2_and_half,threshold,src/racing_edge/pipeline/nap.py,352,young_unexposed >= 2 and young_unexposed * 2 >= contenders,UNRECEIPTED,,"no quote and no record for 'two of them, and at least half the top six'",,
gate:race_gate:age_restricted_scope,gate,src/racing_edge/pipeline/nap.py,351,all(r.age <= 3) disarms the novice gate,field-tested,2026-08-27,nap.py:345-350: in an age-restricted race the gate fires on 100% of the field and erased Carlisle's nursery wholesale — the race type the weight doctrine wins in (Forest Berry),,
flag:race:bottom-grade-Cl6,flag,src/racing_edge/pipeline/nap.py,375,bottom-grade race (Cl6) — inconsistent animals (#3),taught,2026-07-05,RULE_AUDIT.md:53 'M+R | his #3 + fingerprint (Cl6 fav 29.7%)' KEEP,,
gate:race_gate:candy_exemption,gate,src/racing_edge/pipeline/nap.py,373,len(race_picks) <= 7 and exactly one horse in winning form,taught,2026-08-27,"nap.py:356-363 the master 2026-08-27 after Captain Cairney 10/3: 'these are the type of races we need to hoover up, taking candy from a baby when you look at it properly'",a week of candy-race picks reads worse than the dreck column they came from,Brief #15 splits the grade
threshold:race_gate:candy_in_form_proxy,threshold,src/racing_edge/pipeline/nap.py,371,p.history[0].position == 1 (won last time out),UNRECEIPTED,,"the code names it itself: 'PROXY, named (third audit 2026-09-02, bot P4): one horse in winning form is operationalised as WON LAST TIME OUT — narrower than the master's sense'",,self-declared proxy; the <=7 field cut is likewise unreceipted
flag:race:open-market,flag,src/racing_edge/pipeline/nap.py,383,"open market (fav {fav}, top-3 concentration {conc}) — anything-could-win shape (#3)",taught,2026-07-26,RULE_AUDIT.md:54 'M+R | his ruling 2026-07-26 (price threshold must not be so rigid) + fingerprint (top-3 45-55% in open)' KEEP,,the OPEN band itself (conc < 0.52) is unreceipted — see threshold:market_shape:bands
gate:evaluate_field:race_flags_ride_every_runner,gate,src/racing_edge/pipeline/nap.py,385,every pick in the race inherits race_flags into conviction.flags,UNRECEIPTED,,"no quote; RULE_AUDIT.md:59-66 names the consequence — 'the survivor filter treats EVERY flag as disqualifying... they don't argue, they erase' — recommendation never ruled on",,structural: this is how one race-level caution erases a whole card
threshold:evaluate_field:hollow_half_the_field,threshold,src/racing_edge/pipeline/nap.py,416,hollow = _dead * 2 > len(race_picks),UNRECEIPTED,,the master taught the idea on 2026-08-19 ('a terrible race to pick'); 'more than half the priced field carries a dead-wood label' is the apprentice's cut,,
constant:evaluate_field:dead_wood_labels,constant,src/racing_edge/pipeline/nap.py,395,"""cold form"" | ""no win in"" | ""STALE""",UNRECEIPTED,,no quote and no record for which labels count as dead wood; one of the three is itself unreceipted (cold form) and one is demoted (STALE),,
gate:nominate_nap:survivors_have_no_flags,gate,src/racing_edge/pipeline/nap.py,439,[p for p in field if not p.conviction.flags],taught,,"morningread.py:129 rule #25 'ELIMINATE: cross off what can't win on FACTS, then beat the survivors against each other. Pick LAST.'",,RULE_AUDIT.md:59-66: this is where a weak flag becomes an execution
gate:models:is_readable_handicap,gate,src/racing_edge/domain/models.py,134,is_handicap and not is_novice and not is_amateur,taught,2026-07-05,models.py:135-138 'the race-selection GATE'; the master's #3 — race selection before horse selection (morningread.py:31-32),,the amateur-jockey exclusion carries no quote and no record of its own
gate:models:is_readable_pattern,gate,src/racing_edge/domain/models.py,142,(race_class or 9) <= 2 and not is_handicap and not novice/amateur,taught,2026-08-29,"models.py:143-147 THE ZAVATERI GATE, the master 2026-08-29 after the Celebration Mile G2 winner cruised home at 6/4 unseen: 'proper horse, proper race... fix hole'",the first three pattern-race naps go 0-for-3 — the funnel narrows back,
constant:signposts:COMBO_MIN_RIDES,constant,src/racing_edge/school/signposts.py,24,COMBO_MIN_RIDES = 5,UNRECEIPTED,,the comment claims 'the master's own bar for meaningful (Signposts prints nothing under 3 wins)' — 3 WINS is not 5 RIDES; the number is the apprentice's,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
constant:signposts:COURSE_TYPE_MIN_RUNS,constant,src/racing_edge/school/signposts.py,25,COURSE_TYPE_MIN_RUNS = 5,UNRECEIPTED,,no quote and no record for a five-run floor on the yard-at-this-course line,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
constant:signposts:RATING_CLEAR_LB,constant,src/racing_edge/school/signposts.py,26,RATING_CLEAR_LB = 3,taught,2026-08-22,"morningread.py:147-149 law 3c: 'A runner rated clear of the whole field (3lb+), with the books at or under the exchange, is a live pick'",,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
constant:signposts:FRESH_DAYS,constant,src/racing_edge/school/signposts.py,27,FRESH_DAYS = 180,UNRECEIPTED,,no quote and no record for a 180-day definition of 'fresh',,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
constant:signposts:COLD_YARD_DAYS,constant,src/racing_edge/school/signposts.py,28,COLD_YARD_DAYS = 45,UNRECEIPTED,,no quote and no record for 45 days without a winner,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
constant:signposts:LAST_YEAR_WINDOW,constant,src/racing_edge/school/signposts.py,29,LAST_YEAR_WINDOW = 7,UNRECEIPTED,,no quote and no record for the +/-7-day window around the same date last year,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
constant:signposts:RESULTS_DOOR_DAYS,constant,src/racing_edge/school/signposts.py,133,RESULTS_DOOR_DAYS = 364,field-tested,2026-09-05,signposts.py:133-136 live 2026-09-05: the door answered 422 'start date must be 12 months or less in the past'; 364 sits inside the door however it counts a year,,"an API bound, not a betting rule"
constant:signposts:MATCH_MIN,constant,src/racing_edge/school/signposts.py,182,MATCH_MIN = 0.45,UNRECEIPTED,,no quote and no record for the name-similarity cut that decides whether a past running IS this race,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
threshold:signposts:combo_bands_33_20,threshold,src/racing_edge/school/signposts.py,40,combo 33%+ / combo 20%+ / combo cold,UNRECEIPTED,,no quote and no record for the combo bands,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
threshold:signposts:yard_here_25_or_cold_8,threshold,src/racing_edge/school/signposts.py,107,yard here 25%+ / cold under 8%,UNRECEIPTED,,no quote and no record for the yard-at-this-course bands,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
threshold:signposts:dna_fit_needs_3_runnings,threshold,src/racing_edge/school/signposts.py,296,len(lbs) < 3 -> no DNA weight line,UNRECEIPTED,,law #29 asks 'whether today's candidates fit it' (morningread brief #29) with no minimum; three runnings is the apprentice's floor,,dots only — 'Nothing here moves the engine's score' (signposts.py:15); they reach the reader's sheet and the yardstick ledger
constant:signposts:chain_fetch_bounds,constant,src/racing_edge/school/signposts.py,138,"CHAIN_FETCH_MAX = 24, CHAIN_HISTORY_LIMIT = 40",UNRECEIPTED,,no quote and no record; cost bounds on the past-winners chain,,"cost bound, not a betting rule"
constant:shapebook:class_bands,constant,src/racing_edge/school/shapebook.py,44,Cl1-2 / Cl3-4 / Cl5 / Cl6+ / unclassed,field-tested,2026-08-17,mirrors the fingerprint's own class split (nap.py:60 'Cl3-4 the sweet spot'),,"field-tested (frozen snapshot 2026-08-17, not rebuildable)"
constant:shapebook:field_bands,constant,src/racing_edge/school/shapebook.py,56,2-7 / 8-11 / 12-15 / 16+,UNRECEIPTED,,the 12+ break traces to the fingerprint (nap.py:63); the 2-7 / 8-11 / 16+ cuts have no quote and no record,,
constant:shapebook:fav_bands,constant,src/racing_edge/school/shapebook.py,66,fav<6/4 (<2.5) / fav 6/4-3/1 (<=4.0) / fav>3/1,UNRECEIPTED,,no quote and no record for the anchor-strength bands,,
threshold:shapebook:GET_ON_THE_JOLLY,threshold,src/racing_edge/school/shapebook.py,113,fav >= 45 and top3 >= 85,UNRECEIPTED,,"the master taught the GLANCE in words (2026-08-30, rulings.csv:5); the numbers are the apprentice's",,"CONTRADICTION with its own docstring ('thresholds present the data, they are not betting rules') — race_quality_score now scores this verdict +1 (nap.py:117-119)"
threshold:shapebook:GEM_BEHIND_THE_JOLLY,threshold,src/racing_edge/school/shapebook.py,116,top3 >= 78 and fav < 40,UNRECEIPTED,,the glance is taught (rulings.csv:5); 78 and 40 are the apprentice's,,scored +1 in race_quality_score (nap.py:117-119)
threshold:shapebook:BEST_AVOIDED,threshold,src/racing_edge/school/shapebook.py,118,top3 < 65,UNRECEIPTED,,the glance is taught (rulings.csv:5); 65 is the apprentice's,,scored -2 in race_quality_score and it declines leans outright (shapebook.py:222-227)
threshold:shapebook:cell_floor_min_n,threshold,src/racing_edge/school/shapebook.py,75,min_n = 30,UNRECEIPTED,,"no quote and no record for 30 races per cell; reused as MIN_CELL_N (bar_backtest.py:55) and MONTH_MIN_N (tier0.py:35) — 'the shape book's cell floor, reused'",,
gate:shapebook:glance_decline_best_avoided,gate,src/racing_edge/school/shapebook.py,222,a LEAN in a BEST AVOIDED shape is declined — a named pass banks,taught,2026-08-31,shapebook.py:178-184 the master 2026-08-31 after Play Me (4th in the market inside a top-3 94% shape): 'we need to stop making these mistakes... it seems to be same old story',,
threshold:shapebook:glance_decline_top3>=78_rank>3,threshold,src/racing_edge/school/shapebook.py,228,"glance[""top3""] >= 78 and nap_market_rank > 3",UNRECEIPTED,,"the gate is taught (Play Me, 2026-08-31); 78% and 'ranked worse than third' are the apprentice's numbers",,
gate:shapebook:confident_never_gated,gate,src/racing_edge/school/shapebook.py,221,if confident or glance is None: return None,taught,2026-08-31,"shapebook.py:184-185 'Confident naps are never gated; a missing corpus or unknown cell gates nothing (the book advises, absence of the book changes nothing)'",,
constant:ladder:MIN_JUDGE,constant,src/racing_edge/school/ladder.py,41,MIN_JUDGE = 50,taught,2026-08-15,ladder.py:41 'the master: judge nothing on fewer than 50 picks'; HANDOFF.md:14-16 the standing laws of 2026-08-15,,his floor; only he moves it
constant:ladder:WINDOW,constant,src/racing_edge/school/ladder.py,42,WINDOW = 500,taught,2026-08-15,ladder.py:42 'the master: 500+ unseen races is the graduation bar'; HANDOFF.md:14-16,,his floor; only he moves it
constant:bar_backtest:MIN_CELL_N,constant,src/racing_edge/school/bar_backtest.py,55,MIN_CELL_N = 30,UNRECEIPTED,,'the shape-book's own bar for a cell to earn a vote' — and that bar (shapebook.py:75 min_n = 30) has no quote and no record behind it,,
constant:tier0:MONTH_MIN_N,constant,src/racing_edge/school/tier0.py,35,MONTH_MIN_N = 30,UNRECEIPTED,,"'the shape book's cell floor, reused — not a new bar' (tier0.py:35); the floor it reuses is itself unreceipted",,the MONTH TEST it serves is taught (rulings.csv:16); the number 30 is not
gate:sitting_floor:class_distance_favourite,gate,src/racing_edge/school/sitting.py,21,"a missing class, distance or favourite = NAMED PASS",taught,2026-09-01,"rulings.csv:9-10 'terrible read, learn from this' then 'fix it'; law 5c (morningread.py:415-428) after the Wakeman Stayers sitting",,LIVE in the pick path: cli/nap.py:1037-1050 drops candidate races that fail the wall
constant:cli:_RACE_GATE_TERMS,constant,src/racing_edge/cli/nap.py,28,novice in disguise | bottom-grade | open market | all-weather | big-field,doorbell,2026-09-02,"rulings.csv:14 'ONE DEFINITION, ONE SITE: if a rule matters twice, it lives once and both callers ask it'",,the list is one site; two of its five members are unreceipted flags
gate:cli:best_floor_fit,gate,src/racing_edge/cli/nap.py,36,well_in and mark_known and score >= 4 and class <= 4 and shape != OPEN,taught,2026-07-31,"cli/nap.py:37-41 THE no-silent-week rule, the master 2026-07-31: 'no naps all week — what has broken now'",,no pass banks while a floor-fit survivor stands
threshold:cli:floor_fit_score>=4,threshold,src/racing_edge/cli/nap.py,46,sv.conviction.score >= 4,field-tested,2026-07-21,"cli/nap.py:1356-1360 FALLBACK DISCIPLINE: three of six losers were shallow fallback picks at conviction 3, banked when the deep read errored",,
threshold:cli:floor_fit_class<=4,threshold,src/racing_edge/cli/nap.py,48,race_class > 4 is rejected,taught,2026-07-26,morningread.py:476 rule 6: 'Class 4+ preferred; Class 5 demands a STRONGER multi-fact case; Class 6 flat is a pass',,
gate:cli:fallback_too_thin,gate,src/racing_edge/cli/nap.py,1362,no deep read and (no survivors or score < 4 or not well_in) -> no bet,field-tested,2026-07-21,cli/nap.py:1356-1360 the same three-of-six-losers receipt; the winning-era core is 4+ families including well-in,,
gate:cli:profile_floor_mark,gate,src/racing_edge/cli/nap.py,1380,delta is None or delta > 0 or stale -> fall back or no bet,taught,2026-07-26,morningread.py:463 'the mark as ONE piece and a VETO only'; the STALE half is the Woodstock audit (mark.py:42-46),,reader mode only; engine mode caps to LEAN instead
gate:cli:engine_mode_floors_cap_to_LEAN,gate,src/racing_edge/cli/nap.py,1417,"off-profile in engine mode is LEAN, never CONFIDENT",doorbell,2026-09-02,"EDGE_LEDGER.md:788 his ruling: 'the reader-mode floors: mark / class / anchor live in engine mode as CAPS: off-profile is LEAN, never CONFIDENT, never a re-pick'",confident naps vanish for a week on floor caps alone,
gate:cli:soft_fail_class>4,gate,src/racing_edge/cli/nap.py,1422,"soft_fails.append(f""class Cl{n}"")",taught,2026-07-26,morningread.py:476 rule 6 'Class 4+ preferred...',,
gate:cli:soft_fail_no_market_anchor,gate,src/racing_edge/cli/nap.py,1426,"race_fav is None or _shape == ""OPEN""",taught,2026-07-26,the master 2026-07-26 'price threshold must not be so rigid' — the SHAPE decides (nap.py:148-150),,"the rulebook's #22 states a price cliff (6/1, 5/1 below Cl3) the code never implements"
gate:cli:structural_gates_kill_the_licence,gate,src/racing_edge/cli/nap.py,1438,"(""novice in disguise"", ""bottom-grade"", ""all-weather"")",taught,2026-07-26,"cli/nap.py:1433-1437 'price cautions are shape, not law... unexposed fields, bottom grade and the AW remain hard because no case can argue marks into existence'",,the all-weather leg inherits the unreceipted per-horse #14 flag
threshold:cli:argued_needs_3_cites,threshold,src/racing_edge/cli/nap.py,1440,len(mp.cite) >= 3,UNRECEIPTED,,the code's own comment kills it: 'the bypass needs more than eloquence (regression audit: an LLM cites 3 facts every single time — the bar filtered nothing)',,still 3 after the finding
gate:cli:confident_composite,gate,src/racing_edge/cli/nap.py,1481,confident = verdict and not off_profile and not flags and not cautions and not frank_thin_deep and not cornered,taught,2026-08-22,"conviction.py:100-106 (a caution blocks CONFIDENT, the master 2026-08-22) with EDGE_LEDGER.md:788 (the floors cap to LEAN)",,
